B079MGWXK6$My Brilliant Friend (Neapolitan Novels Book 1)$Elena Ferrante$September 25, 2012$"$17.99"$"$9.99"$4.0$32,083 ratings$387 pages$English$Europa Editions; 1st edition (September 25, 2012)$Urenna$5.0 out of 5 stars$Truly Enjoyable!$Reviewed in the United States on October 27, 2016
B0BHTPR5BK$Lady Tan's Circle of Women: A Novel$Lisa See$June 6, 2023$"$18.99"$"$13.99"$4.6$26,402 ratings$357 pages$English$Scribner (June 6, 2023)$Susan$5.0 out of 5 stars$Binding Feet, and Hearts, at Once$Reviewed in the United States on December 2, 2023
B0CV4DV1F4$Not Mine to Keep (The Costa Family)$Brittney Sahin$September 24, 2024$"$16.99"$"$4.99"$4.7$1,547 ratings$380 pages$English$Montlake (September 24, 2024)$Indeanna$5.0 out of 5 stars$OMG... Love the Costa men!$Reviewed in the United States on September 26, 2024
B0B9NHLMYZ$The Trap Of Ace$Eva Zahan$August 20, 2022$$"$3.99"$4.5$1,017 ratings$584 pages$English$August 20, 2022$Carla Smith$5.0 out of 5 stars$love it! MUST read!!!$Reviewed in the United States on September 27, 2024
B0DDKJWMFZ$The Situationship$Abby Jimenez$September 24, 2024$$"$0.99"$4.5$2,219 ratings$37 pages$English$Forever (September 24, 2024)$Coleen Willis$5.0 out of 5 stars$Loved Maddy and Doug’s Story$Reviewed in the United States on September 24, 2024
B09X4PVC6F$Mile High (Windy City Series Book 1)$Liz  Tomforde$June 7, 2022$"$17.99"$"$5.99"$4.4$67,949 ratings$490 pages$English$Golden Boy Publishing LLC (June 7, 2022)$bookswithkattt$5.0 out of 5 stars$Hockey romance with banter and amazing characters$Reviewed in the United States on August 5, 2024
B0019LV31E$'Salem's Lot$Stephen King$May 6, 2008$"$10.99"$"$9.99"$4.6$22,956 ratings$668 pages$English$Anchor; Reprint edition (May 6, 2008)$M.J.Lawicki$5.0 out of 5 stars$Genre Defining Vampire Tale..BRILLIANT Storytelling. 5 Stars.$Reviewed in the United States on November 27, 2013
B00N6PCZO0$A Little Life: A Novel$Hanya Yanagihara$March 10, 2015$$"$13.99"$4.5$76,374 ratings$833 pages$English$Anchor (March 10, 2015)$JenP$5.0 out of 5 stars$a beautifully written book about love, friendship, and the long-term impact of childhood abuse.$Reviewed in the United States on October 8, 2015
B0BXHSFMF4$Ward D$Freida McFadden$May 8, 2023$"$11.99"$"$3.99"$4.3$95,322 ratings$348 pages$English$Hollywood Upstairs Press (May 8, 2023)$Ash$5.0 out of 5 stars$Fun, fast read$Reviewed in the United States on September 3, 2024
B01LZFL63S$The Alice Network: A Novel$Kate Quinn$June 6, 2017$$"$10.99"$4.6$72,419 ratings$564 pages$English$William Morrow Paperbacks (June 6, 2017)$psparkman$5.0 out of 5 stars$I will never forget this amazing story.$Reviewed in the United States on July 14, 2017
B09T8CTH66$Colleen Hoover Ebook Boxed Set It Ends with Us Series: It Ends with Us, It Starts with Us$Colleen Hoover$December 27, 2022$$"$25.99"$4.6$4,629 ratings$643 pages$English$Atria Books (December 27, 2022)$Ashilee$5.0 out of 5 stars$amazing!!$Reviewed in the United States on September 10, 2024
B0D7F96JNZ$The Finish Line (The Ravenhood Book 3)$Kate Stewart$July 16, 2024$"$16.11"$"$9.99"$4.5$38,865 ratings$560 pages$English$Kensington Books (July 16, 2024)$BeaWilson$5.0 out of 5 stars$pure perfection!$Reviewed in the United States on August 23, 2024
B0DHPWKCL7$Feelings For You (Crenshaw Kings Book 6)$Shvonne Latrice$September 20, 2024$$"$8.99"$4.8$1,259 ratings$558 pages$English$September 20, 2024$Ianie$5.0 out of 5 stars$Amazing book!!!!$Reviewed in the United States on September 26, 2024
B0BNFRLH91$The Sacrifice: A Dark Revenge Romance$Shantel  Tessier$April 6, 2023$$"$4.99"$4.5$34,009 ratings$644 pages$English$(April 6, 2023)$MrsHReadsALot$5.0 out of 5 stars$Loyalty, loyalty, loyalty$Reviewed in the United States on April 8, 2023
B0CJ35XJLX$Into the Cauldron (The After Dunkirk Series Book 7)$Lee Jackson$September 10, 2024$"$21.99"$"$7.99"$4.5$875 ratings$569 pages$English$Severn River Publishing (September 10, 2024)$Amazon Customer$5.0 out of 5 stars$End of WW II is in sight!$Reviewed in the United States on September 16, 2024
B07Q5TL9SQ$If You Tell: A True Story of Murder, Family Secrets, and the Unbreakable Bond of Sisterhood$Gregg Olsen$December 1, 2019$"$15.95"$"$4.99"$4.2$157,686 ratings$431 pages$English$Thomas & Mercer (December 1, 2019)$Gladys Leyva$5.0 out of 5 stars$⭐️⭐️⭐️⭐️⭐️ A Haunting and Powerful True Crime Story$Reviewed in the United States on September 25, 2024
B0CD73J3T6$The Paris Novel$Ruth Reichl$April 23, 2024$"$29.00"$"$13.99"$4.4$5,567 ratings$274 pages$English$Random House (April 23, 2024)$Jodie L Wenrick$5.0 out of 5 stars$pure delight$Reviewed in the United States on September 9, 2024
B0DF6Q353Y$God Of Vengeance (Kings Of Mafia)$Michelle Heard$August 24, 2024$"$14.99"$"$4.99"$4.6$6,944 ratings$445 pages$English$MA Heard (August 24, 2024)$Xylo$5.0 out of 5 stars$OMG!!! ... The Costa Nostra  - DAMIANO AND GABRIELLA FOREVER$Reviewed in the United States on September 3, 2024
B0CSQ5FKYC$Meant For Gabriel: A small town, single dad, surprise baby romance (Meant For Series Book 4)$Natasha Madison$September 6, 2024$$"$4.99"$4.5$3,353 ratings$399 pages$English$(September 6, 2024)$Brigid Brown$5.0 out of 5 stars$So much love.....$Reviewed in the United States on September 6, 2024
B092T9G4Y5$A Flicker in the Dark: A Novel$Stacy Willingham$January 11, 2022$$"$12.99"$4.3$53,083 ratings$363 pages$English$Minotaur Books (January 11, 2022)$Sara Norris$5.0 out of 5 stars$Great Read!$Reviewed in the United States on September 26, 2024
B0CN8TRPK1$Joy: A Novel$Danielle Steel$August 13, 2024$$"$14.99"$4.5$3,852 ratings$239 pages$English$Dell (August 13, 2024)$Martha N. Walsworth$5.0 out of 5 stars$Heart warming!$Reviewed in the United States on August 25, 2024
B0DF86MTXF$Task Force Hammer (Expeditionary Force Book 17)$Craig Alanson$September 10, 2024$$"$6.99"$4.6$607 ratings$806 pages$English$September 10, 2024$J.O.$5.0 out of 5 stars$Stupendous!$Reviewed in the United States on September 25, 2024
B0BP8DW2VN$The Ever King (The Ever Seas Book 1)$LJ Andrews$September 16, 2023$$"$5.99"$4.5$19,849 ratings$412 pages$English$Victorious (September 16, 2023)$CelesteEden$5.0 out of 5 stars$More than just romantacy$Reviewed in the United States on September 17, 2024
B09VV2CR51$Flawless: A Small Town Enemies to Lovers Romance$Elsie Silver$June 24, 2022$"$17.99"$"$5.99"$4.3$79,697 ratings$424 pages$English$Elsie Silver via Amazon Digital Services (June 24, 2022)$Tori$5.0 out of 5 stars$Cowboy Wonderland$Reviewed in the United States on October 1, 2024
B0BV1C2PJ8$Wildfire: A Novel (The Maple Hills Series Book 2)$Hannah Grace$October 3, 2023$$"$10.99"$4.1$25,598 ratings$396 pages$English$Atria Books (October 3, 2023)$Kayla Hashberger$5.0 out of 5 stars$I'm not crying, you are$Reviewed in the United States on October 3, 2024
B0C3426KGW$Nocticadia$Keri Lake$April 25, 2023$$"$5.99"$4.5$7,878 ratings$682 pages$English$(April 25, 2023)$Karen McVino$5.0 out of 5 stars$I can’t stop obsessing over Noticadia that’s sheer brilliance from beginning to end$Reviewed in the United States on April 30, 2023
B0CW1J3Y5G$Safe Enough: Crime Stories by the Author of Jack Reacher$Lee Child$September 3, 2024$"$26.23"$"$14.99"$3.8$366 ratings$237 pages$English$Mysterious Press (September 3, 2024)$Leslie L$5.0 out of 5 stars$Some a bit gory, but great twists in every story!$Reviewed in the United States on October 3, 2024
B0D8WKFKT7$Undeniably Infatuated (Boston's Irresistible Billionaires Book 3)$J.  Saman$September 23, 2024$$"$4.99"$4.6$877 ratings$362 pages$English$September 23, 2024$Deanna Lynn$5.0 out of 5 stars$Absolutely loved this read!$Reviewed in the United States on October 1, 2024
B0CL3FMNKJ$The Midnight Feast: A Novel$Lucy Foley$June 18, 2024$"$30.00"$"$14.99"$4.0$8,698 ratings$362 pages$English$William Morrow (June 18, 2024)$Kathy$5.0 out of 5 stars$So Very Good$Reviewed in the United States on September 20, 2024
B00CVS2J80$Red Rising (Red Rising Series Book 1)$Pierce Brown$January 28, 2014$"$18.00"$"$5.99"$4.6$63,242 ratings$401 pages$English$Del Rey (January 28, 2014)$/recon$5.0 out of 5 stars$"""Rising to Greatness: A Five-Star Review of Red Rising"""$Reviewed in the United States on May 12, 2024
B0DFRL16Y1$Nantucket Summer House (Nantucket Beach Plum Cove Book 9)$Pamela M. Kelley$August 29, 2024$$"$5.99"$4.5$959 ratings$293 pages$English$Piping Plover Press, Inc. (August 29, 2024)$Coop50$5.0 out of 5 stars$Fun read$Reviewed in the United States on September 25, 2024
B0BGMZ9ZL2$The Seven Year Slip$Ashley Poston$June 27, 2023$$"$12.99"$4.4$17,999 ratings$348 pages$English$Berkley (June 27, 2023)$Katie Beasley$5.0 out of 5 stars$Best Emotional Roller Coaster with a Magical Apartment$Reviewed in the United States on May 3, 2024
B0CQ35GDC7$The Moonflowers: A Novel$Abigail Rose-Marie$September 1, 2024$"$16.99"$"$4.99"$4.5$11,577 ratings$329 pages$English$Lake Union Publishing (September 1, 2024)$Amber Loveday$5.0 out of 5 stars$One of the best books I’ve read$Reviewed in the United States on September 24, 2024
B09Q7XH3N8$Mad Honey: A Novel$Jodi Picoult$October 4, 2022$$"$12.99"$4.4$61,329 ratings$461 pages$English$Ballantine Books (October 4, 2022)$Helen Yanchewski$5.0 out of 5 stars$Eye opening novel$Reviewed in the United States on September 22, 2024
B09NJBVM8Z$Praise (Salacious Players' Club)$Sara Cate$March 17, 2022$"$16.99"$"$4.99"$4.4$54,363 ratings$338 pages$English$(March 17, 2022)$The Romance Regent$5.0 out of 5 stars$"An Intoxicating Blend of Passion and Forbidden Love - Review of ""Praise"""$Reviewed in the United States on January 22, 2024
B087VXZYMM$The Things We Leave Unfinished$Rebecca Yarros$February 23, 2021$"$15.99"$"$9.99"$4.6$33,407 ratings$450 pages$English$Entangled: Amara (February 23, 2021)$CVZ$5.0 out of 5 stars$FIVE PLUS EMOTIONALLY CHARGED, BEAUTIFUL STARS!$Reviewed in the United States on April 21, 2024
B0B36FKPS8$King of Wrath (Kings of Sin Book 1)$Ana  Huang$October 20, 2022$"$17.99"$"$5.99"$4.3$79,377 ratings$398 pages$English$October 20, 2022$Raven$5.0 out of 5 stars$Brilliant!$Reviewed in the United States on June 10, 2024
B0CNR8J1DK$A Grave in the Woods: A Bruno, Chief of Police Novel (Bruno, Chief of Police Series Book 17)$Martin Walker$September 24, 2024$"$29.00"$"$14.99"$4.2$1,363 ratings$289 pages$English$Knopf (September 24, 2024)$Victoria M. Lamkey$5.0 out of 5 stars$Bruno is never far from trouble in his little corner of France$Reviewed in the United States on September 2, 2024
B0D9YTCPRY$Practical Adept: Book 17 of the Spellmonger Series$Terry Mancour$September 24, 2024$$"$9.95"$4.9$422 ratings$1054 pages$English$September 24, 2024$Michael Parnell$5.0 out of 5 stars$Absolutely brilliant$Reviewed in the United States on October 2, 2024
B07YSNFBBS$The Summer House: The Classic Blockbuster from the Author of Lion & Lamb$James Patterson$June 8, 2020$"$10.99"$"$9.99"$4.5$51,417 ratings$625 pages$English$Little, Brown and Company (June 8, 2020)$Kindle Customer$5.0 out of 5 stars$Great read$Reviewed in the United States on September 8, 2024
B0C2MZXDBV$The Familiar: A Novel$Leigh Bardugo$April 9, 2024$"$29.99"$"$14.99"$4.3$5,935 ratings$387 pages$, and the King of Scars duology--with more to come. Her other works include$Flatiron Books (April 9, 2024)$Rianne.etc$5.0 out of 5 stars$A Strange and Mysterious Tale$Reviewed in the United States on September 12, 2024
B003672JHG$Winter Garden$Kristin Hannah$January 28, 2010$"$19.00"$"$11.99"$4.6$77,666 ratings$401 pages$English$St. Martin's Press; First edition (January 28, 2010)$Jjspina$5.0 out of 5 stars$An exceptionally emotional and heartfelt read!$Reviewed in the United States on July 6, 2024
B0CT4X6W9S$Bad Liar: A Novel$Tami Hoag$September 24, 2024$$"$14.99"$4.6$291 ratings$415 pages$English$Dutton (September 24, 2024)$Kat$5.0 out of 5 stars$WOW!! Great, great book!!$Reviewed in the United States on September 30, 2024
B0CJQQLL28$Little Stranger: A Dark Taboo Romance (The Web of Silence Duet Book 1)$Leigh Rivers$October 29, 2023$$"$3.50"$4.2$21,178 ratings$207 pages$English$(October 29, 2023)$Alyssa Mcgee$5.0 out of 5 stars$5/5 storyline & spice$Reviewed in the United States on September 1, 2024
